topic_name,topic_id,words
Отчетность и прозрачность,95,"отчетности, отчетность, подотчетность, бухгалтерия, бухгалтер, бухгалтерскии, отчета, аудит, аудиторскии, аудитор, отчет, учет, отчетныи, финансовыи, подотчетныи, нефинансовыи, счет, аудировать, финансово, аккредитация, учетныи, доклад, расчетныи, зачисление, финансирование, взаимозачет, вычет, аккредитив, взаиморасчет, задолженность, начисление, аванс, расчет, подсчет, отчисление, учредительныи, финансы, финанс, рассрочка, счетныи, учредитель, финансироваться, финансировать, зачет, кредитныи, аккредитовать, отчитываться, кредитование, долгов, начислять"
Лидерство,103,"ответственность, обязанность, ответственныи, ственность, ответствен, ответственно, обязательство, своиственныи, преемственность, компетентность, компетентныи, управляемость, обеспокоенность, озабоченность, вовлеченность, виновныи, подверженность, обязываться, правомерность, хозяиственныи, приверженность, инцидент, владение, деиствительныи, изводственныи, компетенция, поручительство, авторитет, собственник, репутационныи, сопоставимость, сопровождение, отвечать, полномочие, владеть, устоичивость, реагирование, обязать, нетерпимость, ущерб, заботливость, удаленность, сомнительныи, авторитетныи, волатильность, удержание, обязывать, поручитель, хищение, саморазвитие"
Дивиденды и акционеры,107,"федерация, планирование, назначение, план, дивиденд, планироваться, назначаться, иерархия, постановление, дивидендныи, паспортизация, портфель, планировать, управленческии, амортизация, плановыи, правительство, административно, директорат, управленец, запланировать, приказ, планировка, орден, пфо, исполнение, фгуп, назначать, федеральныи, реформа, интерфеис, реформирование, фцп, директор, планомерно, спланировать, печать, пао, порядок, цфо, целенаправленно, ворота, дворец, атомфлот, патэс, администрация, принятие, администратор, власть, исполнительныи"
Эффективность и производительность,110,"индексация, показатель, эффективность, значимость, факторинг, целеполагание, индекс, амортизация, администратор, значение, прибыльность, ценность, директор, назначение, показание, административно, дивиденд, рентабельность, целевои, целенаправленно, руководитель, лидер, индикатор, уникальность, производитель, целостность, показательныи, компетенция, коэффициент, дивидендныи, инвентаризация, доходность, исполнительныи, компетентность, фективность, переоценка, балл, единство, директорат, присвоение, достоинство, столица, объективность, портфель, премия, важность, памятник, управленец, выполнение, вычисление"
Отчетность и прозрачность,112,"аудитор, аудит, аудировать, аудиторскии, внутреннии, интерьер, ревизия, доверие, проверяться, проверять, контрольныи, контролировать, ревизионныи, контроль, око, внешнии, доверять, неконтрольныи, слушатель, контроллинга, коридор, менеджмент, бухгалтер, слушать, слушание, уверенность, сердце, внутри, дит, управленческии, монастырь, наш, иностранныи, инспекция, уверенныи, подконтрольныи, управляться, касса, душа, независимыи, контролер, оркестр, периодически, регулярно, театр, бухгалтерия, секретариат, коррупция, запад, уверенно"
Эффективность и производительность,120,"активизация, активность, финансовыи, активныи, актив, капитал, доходность, доходныи, прибыльность, ликвидация, капитализация, активист, капиталь, инвестиция, финансирование, ликвидность, функция, финансово, фективность, прибыль, дивидендныи, функционал, капитальныи, инвестиционныи, дивиденд, активно, извлечение, активизировать, функционально, прибыльныи, функционировать, деятельно, доходы, амортизация, финансироваться, финансировать, финансы, инвестирование, деиствие, функциональныи, убыток, фондовыи, взаимодеиствие, доход, депозитарии, фонд, лизинговыи, финанс, развлечение, воздеиствие"
Отчетность и прозрачность,121,"аудитор, аудиторскии, ревизия, аудировать, аудит, ревизионныи, коррупция, инспекция, руководитель, комиссия, комитет, проверять, контроль, реактор, коррупционныи, проверяться, реорганизация, департамент, инспектор, контрольныи, антикоррупция, директор, надзор, пересмотр, директорат, ректор, контролировать, реорганизовать, бухгалтер, исправление, проверка, чек, реакторныи, бухгалтерия, администратор, доверие, репутационныи, факультет, неконтрольныи, наблюдатель, лидер, отдел, башня, авторитет, контролер, реа, контроллинга, комиссионныи, управленческии, советник"
Отчетность и прозрачность,124,"финансовыи, финансово, фективность, финансирование, инструмент, финансы, инструментарии, актив, активность, финанс, объективность, активизация, финансироваться, убыток, активист, объект, финансировать, факультет, ликвидность, функционально, разрушение, обязательство, существующии, активныи, будущее, своевременность, деиствие, отчетность, кредитор, текущии, факторинг, лизинговыи, отчетности, взаимодеиствие, верификация, объективныи, кредитныи, интенсификация, функция, подотчетность, функциональныи, существование, кредитование, достоверность, нефинансовыи, тивность, расчетныи, рассрочка, дефолт, связанность"
Управление рисками,125,"риска, риск, рисковои, опасность, пасность, опасныи, брокер, внешэкономбанк, инвестпрограмма, опасение, безопасность, инвестировать, брокерскии, инвестирование, инвестор, безопасно, безопасныи, кредитование, росэксимбанк, банковскии, внешнии, сценарии, факторинг, банкротство, ликвидность, вероятность, банкомат, проминвестбанк, сбербанк, банк, доверие, кредитор, глобэксбанк, кризисныи, инвестиция, фактор, инвест, внешнеторговыи, иностранныи, кредиторскии, биржа, шанс, минприрода, инвестированныи, ликвидация, возникновение, угроза, инновационность, открытость, межбанковскии"
Отчетность и прозрачность,128,"журналист, журналистика, новость, новостнои, газета, коммуникативныи, публиковаться, информационныи, публикация, опубликование, коммуникация, аудитория, пропаганда, общественность, общественно, опубликовать, общественныи, публиковать, телеканал, популяризация, пресса, еженедельно, еженедельныи, публика, телеконференция, продвигать, массовыи, община, агентство, волонтер, интервью, эфир, волонтерство, публично, продвинуть, событие, доклад, нуждаться, популярныи, среда, информироваться, население, сообщество, редактор, популярность, мероприятие, телемедицина, журнал, маркетинговыи, сектор"
Лидерство,131,"директорат, менеджерскии, директор, менеджер, руководитель, лидер, администратор, политик, режиссер, иерархия, лидерскии, начальник, управленческии, секретарь, награда, подчиненныи, стратегически, лидерство, менеджмент, стратегическии, подчинение, дирекция, повторение, зарплата, секретариат, премия, стратегия, управленец, дисциплинарныи, руководство, вертикаль, дисциплина, работник, наградить, советскии, режим, увольнение, мотивировать, повторяться, глубина, рацион, зарплатныи, карьерныи, архэнерго, уволить, политика, карскии, сотрудник, уволиться, режимныи"
Дивиденды и акционеры,135,"акция, капитал, капиталь, капитальныи, капитализация, акционер, инвестировать, акционерныи, акциз, дивидендныи, дивиденд, инвестирование, облигация, инвестор, инвест, биржа, инвестмент, инвестпрограмма, инвентаризация, инвестиция, столица, инвестиционныи, аукцион, активизация, рыночныи, поделиться, актив, актуарныи, владение, холдинговыи, инвестированныи, вложить, амортизация, собственность, девальвация, наложить, депозитарии, облигационныи, металлоинвест, номинальныи, ак, еврооблигация, власть, недвижимость, активист, мосбиржа, федерация, депозит, дукции, акб"
Лидерство,147,"директор, директорат, дирекция, советскии, режиссер, руководитель, совет, советник, лидер, руководство, дисциплина, лидерство, длительность, дисциплинарныи, лидерскии, менеджерскии, быстро, рск, быстрорастущии, менеджер, замедление, управленческии, заседание, дирек, управленец, лист, учитель, быстрыи, консультативныи, выдержка, реид, ргу, ржд, интервал, репо, пании, преподаватель, дивиденд, управляться, консультант, рацион, стартап, начальник, сердце, дивидендныи, преподавание, администратор, направляться, секретарь, катание"
Эффективность и производительность,152,"экономическии, экономически, доходность, доходы, доходныи, прибыльность, затрата, экономика, рентабельность, затратныи, налогообложение, доход, рентабельныи, прибыль, прибыльныи, расход, налоговыи, затратить, налог, себестоимость, капитал, дивиденд, дивидендныи, выручка, капитализация, экономия, экономист, инвестиция, экономичность, экономичныи, капиталь, расходование, инфляция, финансирование, расчетныи, трудозатрата, инфраструктура, экономить, производствен, капитальныи, субсидия, финансироваться, субсидирование, финансы, инвестиционныи, финансировать, независимость, образовать, бюджетныи, финансовыи"
Антикоррупция,163,"коррупция, коррупционныи, политик, антикоррупция, подход, менеджмент, политика, граница, метод, пограничныи, административно, методика, методическии, управленческии, путь, ограничить, методология, оценщик, администратор, управленец, разграничить, разграничение, межрегиональныи, менеджер, лидер, внешнеторговыи, отведение, введение, обесценение, ограждение, территория, подведение, затрата, способ, ценообразование, департамент, менеджерскии, иностранныи, секретариат, ценность, рационализация, путевка, рацион, подходящии, курс, лидерство, проблематика, посредник, оценивать, предел"
Управление рисками,170,"прогнозирование, прогнозныи, прогнозировать, прогноз, ожидать, ожидание, ожидаться, предупредить, предварительныи, отчетность, событие, непредвиденныи, отчетности, презентация, готовность, предупреждать, планирование, предупреждение, будущее, предельныи, факторинг, проявление, наступление, предшествовать, убыток, предписание, предполагать, вероятность, амортизация, сценарии, погодныи, катастрофа, оповещение, дефолт, предполагаться, внеплановыи, надежда, инфляция, презентационныи, плановыи, будущии, погода, планомерныи, заранее, предстоящии, мероприятие, аварииность, план, расчетныи, интерфеис"
Лидерство,177,"директор, директорат, комитет, режиссер, руководитель, дирекция, иерархия, оргкомитет, комиссия, менеджерскии, советник, менеджер, профориентация, лидер, дисциплинарныи, дисциплина, дивидендныи, управленческии, наставник, лидерство, руководство, лидерскии, дирек, учитель, дивиденд, акционер, столица, организоваться, театральныи, подчиненныи, реактор, неитрон, советскии, управленец, экспертиза, управляться, ректор, управляемость, директива, начальник, папа, подчинение, профессионализм, должность, преподаватель, борисович, комиссионныи, администратор, арбитражныи, элита"
Эффективность и производительность,184,"экономическии, экономически, экономика, экономичность, капитальныи, экономныи, экономичныи, капитализация, экономия, экономист, эко, капитал, экопросвещение, рентабельность, капиталь, рентабельныи, экологичность, выгода, выгодныи, себестоимость, эффективность, экономбанк, прибыльность, эффективныи, доходность, обогатительныи, энергозатраты, экономить, волатильность, сбережение, эффективно, бенефициар, сэкономить, существенность, рациональныи, благосостояние, благоустроиство, затратныи, преобладание, финансовыи, дефицитныи, доходныи, акционерныи, потенциальныи, внешэкономбанк, трудозатрата, компетентность, деиствительныи, финансирование, инвестиционныи"
Отчетность и прозрачность,185,"открытость, открыто, инвестировать, открытыи, инвестпрограмма, покрывать, раскрывать, раскрыть, раскрываться, внешнии, принцип, инвестор, инвест, раскрытыи, опасность, информа, зарубежнефть, закрытие, политика, информирование, политик, инвестиция, покрытие, инвестирование, принципиально, информироваться, информировать, наружное, иностранныи, вскрытие, своевременность, учредить, своевременно, осведомленность, своевременныи, открыться, риска, закрыть, доверие, периодичность, открытие, момент, инвестмент, регулярно, пасность, секрет, покрыть, открыть, правило, закрытыи"
Эффективность и производительность,187,"фондовыи, нефть, фонд, субсидия, рентабельныи, ценовыи, денежныи, ресурсныи, экономически, экономическии, рентабельность, ция, пенсионныи, субсидирование, богатство, затратныи, вознаграждение, зарплатныи, территория, народныи, прибыльность, заработок, роснефть, инвестиционныи, добычныи, себестоимость, родныи, ценность, прожиточныи, река, оплачивать, столетие, обязанность, дивидендныи, ресурс, пенсия, ценообразование, спонсорство, ценныи, расовыи, числовои, ценовои, доходныи, отрабатывать, контрактныи, экономика, возведение, зация, рования, оплата"
Лидерство,190,"менеджер, менеджерскии, руководитель, директорат, директор, членство, управленческии, продлить, продление, исполнительныи, длительность, лидер, мотивировать, мотивация, долгосрочныи, лидерство, дирекция, долго, длина, менеджмент, администратор, управленец, лидерскии, дивиденд, сотрудник, режиссер, мотив, дивидендныи, начальник, долгов, мотивированныи, премия, элемент, акционер, отпуск, награда, исполнитель, долговременныи, подчинение, долговои, иерархия, компонент, руководство, подчиненныи, долголетие, орган, работник, организа, управляемость, член"
Отчетность и прозрачность,191,"аудит, аудитор, аудиторскии, аудировать, отчетности, бухгалтер, отчетность, бухгалтерия, подотчетность, бухгалтерскии, отчета, отчет, учет, отчетныи, учетныи, подотчетныи, счет, финансовыи, проверяться, ревизия, проверять, доверие, верификация, ревизионныи, финансово, доверенныи, счетныи, касса, наш, доклад, аккаунт, учредитель, контрольныи, удмуртскии, подсчет, кассовыи, учредительныи, председатель, стена, экспортныи, инспекция, контроль, подтверждение, аккредитация, зоря, проверка, экспорт, верить, достоверность, доверять"
Эффективность и производительность,192,"прибыльность, прибыль, ликвидация, доходныи, доходность, ликвидность, капитал, финансирование, финансовыи, капитализация, капиталь, финансово, прибыльныи, капитальныи, финансироваться, долгов, инвестиция, финансировать, дивиденд, финансы, дивидендныи, финанс, доходы, инвестиционныи, ликвидировать, рентабельность, задолженность, бухгалтер, долг, рассрочка, банкротство, доход, вырабатываться, лизинговыи, приток, фонд, отрабатываться, фондовыи, бухгалтерия, ликвидныи, реорганизация, должник, рентабельныи, экономика, функция, активизация, амортизация, ндфл, инфляция, разработать"
Отчетность и прозрачность,194,"отчетность, отчетности, отчет, открытость, отчета, завершать, открыто, завершение, доклад, полнота, подотчетность, себестоимость, целостность, закрывать, открыться, завершить, завершаться, открытыи, раскрывать, закрытие, раскрыть, гибкость, открываться, прозрачность, открывать, реагировать, завершиться, покрытие, раскрываться, повторяться, общественность, открыть, покрывать, отчетныи, реагирование, заключение, повторение, заверение, учет, общественныи, сопоставимость, принцип, обязательство, наружное, ресторан, закрытыи, публично, основатель, туризм, значимость"
Лидерство,195,"руководитель, лидер, менеджер, лидерство, периодичность, структура, длительность, начальник, руководство, длина, факторинг, глава, директорат, персонал, менеджерскии, структурныи, директор, лидерскии, фактор, инфраструктура, отчетность, председатель, штаб, коэффициент, структурировать, департамент, администратор, период, дивизион, режиссер, отдел, управленец, оглавление, субгруппа, управляемость, подчинение, подчиненныи, сотрудник, показатель, элемент, деление, административно, генеральныи, реорганизация, сегмент, иерархия, индивидуально, отчетности, отчет, отчета"
Отчетность и прозрачность,197,"приложение, прикладнои, применение, отчетность, отчетности, заявка, заявитель, отчета, заявление, подотчетность, отчет, взаиморасчет, изложение, вложение, взаимозачет, инвестпрограмма, применяться, наложение, гораздо, отчетныи, доклад, таблица, отложение, бухгалтер, утверждение, одобрение, отнесение, взаимодеиствие, интерактивныи, консолидация, нанесение, заявить, бухгалтерия, часто, аккредитация, возложение, субсидирование, счет, проявление, тия, храм, листинг, стол, взаимосвязь, упоминание, облигация, многократныи, внесение, просрочка, требование"
Инновации,209,"патент, патентныи, инвестиция, инвестиционныи, уникальность, инновационность, инвестирование, инвестировать, инновация, собственность, лицензирование, изобретение, инвест, лицензированныи, инвестпрограмма, инновационныи, эмитент, инвестпроект, инвентаризация, удостоверение, уникальныи, лицензия, инвестор, себестоимость, интеллект, инвестмент, реновация, возрождение, новация, открытость, достоинство, контент, инвестированныи, привилегия, объект, правомерность, лицензионныи, раскрыть, раскрывать, идентификация, продуктивность, единство, ресурсныи, признательность, знание, заявитель, капитал, изобретатель, открытие, компетентность"
Лидерство,218,"награда, звание, награждение, награднои, премия, федерация, наградить, медаль, лауреат, орден, честь, руководитель, должность, наставник, авторитет, иерархия, удостоверение, директор, преемник, лидер, мемориал, диплом, ветеран, полномочие, льгота, претендент, янтарьэнерго, кафедра, администратор, вознаграждение, академия, власть, уважение, мемориальныи, академик, разряд, губернатор, авторитетныи, академическии, стипендия, лидерство, энергия, дивиденд, номинальныи, памятник, начальник, льготныи, профессор, взнос, дипломныи"
Отчетность и прозрачность,219,"аудитор, аудит, аудиторскии, отчетность, аудировать, бухгалтер, отчетности, бухгалтерия, бухгалтерскии, подотчетность, отчета, наш, доверие, ревизия, верификация, обесценение, отчет, финансовыи, ревизионныи, счет, учет, расчетныи, инвентаризация, факторинг, объективность, компетентность, финансово, учетныи, взаимозачет, насаждение, достоверность, проверяться, ликвидность, отчетныи, взаиморасчет, учредитель, надежность, периодичность, себестоимость, подсчет, доверенныи, девальвация, ценность, уверенность, расчет, независимость, подотчетныи, проверять, доверять, фективность"
Лидерство,220,"директор, директорат, протокол, руководитель, управленческии, постановление, генеральныи, управленец, режиссер, собрание, дирекция, администрация, заседание, годовои, назначаться, совещание, менеджерскии, управляемыи, принятие, ассамблея, администратор, управляться, папа, приказ, возглавлять, согласиться, менеджер, административно, дивиденд, дивидендныи, ежегодно, оповещение, председатель, согласование, распоряжение, согласовать, управлять, назначать, печать, согласоваться, лидер, решать, должность, годовщина, согласие, решаться, советник, одобрить, отец, одобрение"
Эффективность и производительность,221,"расход, затрата, уменьшение, затратныи, сокращение, персонал, уменьшить, затратить, расходование, снизить, размер, уменьшать, расчетныи, численность, уменьшиться, сократить, сокращать, снижать, компенсация, расчет, пропорция, работник, сокращаться, пропорционально, уменьшаться, снижение, исчисление, сотрудник, понижение, компенсационныи, отчисление, расходныи, расходовать, снизиться, минимизация, экипаж, зарплата, снижаться, зачисление, зарплатныи, участие, масштабирование, сократиться, минимизировать, население, трудозатрата, вычислительныи, участник, человек, себестоимость"
Отчетность и прозрачность,222,"аудит, аудитор, аудиторскии, отчетность, отчетности, аудировать, подотчетность, отчета, бухгалтер, бухгалтерия, доверие, отчет, бухгалтерскии, отчетныи, проверяться, учет, проверять, наш, доверенныи, достоверность, финансовыи, подотчетныи, доверять, учетныи, ревизия, надежность, уверенность, доклад, счет, непрерывность, компетентность, ревизионныи, взаимозачет, музеиныи, обесценение, уверенныи, финансово, экспортныи, задолженность, разрушение, ответственность, монополия, владение, касса, зоря, удмуртскии, подтверждение, непрерывно, доказывать, убеждение"
Отчетность и прозрачность,223,"финансовыи, финансово, отчетность, отчетности, подотчетность, дефолт, учредить, отчета, ндфл, норматив, финансирование, стандартизация, отчет, нормативныи, принцип, стандартныи, бухгалтер, учредительныи, взаимозачет, гибко, финанс, ндт, финансы, интерфеис, гибкость, периодичность, учредитель, отчетныи, бухгалтерия, варьироваться, расчетныи, стандарт, амортизация, фундамент, ликвидность, финансироваться, монопольныи, финансировать, гибкии, правило, ошибка, ликвидация, основание, декларация, проявление, срок, взаиморасчет, дифференциация, единовременныи, принципиальныи"
Отчетность и прозрачность,228,"аудитор, аудит, аудиторскии, аудировать, отчетности, отчетность, бухгалтер, бухгалтерия, ревизия, проверяться, отчета, проверять, бухгалтерскии, отчет, инспекция, подотчетность, ревизионныи, монастырь, доверие, учет, контроль, касса, испытать, оповещение, проверка, контрольныи, коррупция, испытание, проверить, слушатель, соискатель, доверенныи, верификация, оркестр, заседание, доклад, отчетныи, доверять, наблюдатель, мониторинг, испытательныи, кассовыи, контролировать, монголия, моногород, звуковои, проверочныи, монополия, испытывать, зритель"
Дивиденды и акционеры,230,"акционер, акционерныи, аукцион, бумага, акция, рыночныи, внутреннии, инспекция, газета, инвестировать, театр, инвестор, дивидендныи, арбитражныи, спектакль, облигация, впечатление, внешнеторговыи, документооборот, документально, документальныи, поделиться, наблюдатель, дивиденд, публикация, театральныи, документарныи, авторитет, поверхностныи, папа, наблюдать, публиковаться, заседание, осведомленность, биржа, дворец, инвест, роль, документация, взаимныи, искреннии, металлоинвест, исполнительныи, лист, раскрытыи, наблюдаемость, сказка, открытость, заинтересовать, опубликование"
Дивиденды и акционеры,232,"акционер, собрание, заседание, аукцион, акционерныи, ассамблея, совещание, совещательныи, оповещение, акция, инспекция, собранныи, дивидендныи, дивиденд, выставка, наблюдатель, лидерство, преемник, дирекция, директорат, единовременныи, встреча, участие, саммит, генеральныи, монополия, редкии, навстречу, акциз, арбитражныи, лидер, инвестировать, своевременно, аудитория, федерация, рыночныи, девальвация, преференция, презентация, актуарныи, коллекция, быстрорастущии, сопровождение, наблюдать, своевременныи, одновременныи, звание, директор, инвест, секция"
Лидерство,237,"председатель, директор, руководитель, директорат, президент, президентскии, лидер, начальник, менеджер, администрация, управленец, режиссер, должность, менеджерскии, администратор, представитель, управленческии, дирекция, руководящии, исполнительныи, глава, советник, респондент, наставник, возглавлять, лидерство, административно, господдержка, лидерскии, штаб, оглавление, главныи, офицер, подчиненныи, преподаватель, исполнитель, генеральныи, руководство, депутат, учитель, прокуратура, подчинение, управляемыи, назначаться, секретариат, руководить, пассажир, заместитель, юрисдикция, координатор"
Дивиденды и акционеры,240,"дивиденд, дивидендныи, капитал, капитализация, капиталь, прибыль, акция, прибыльность, капитальныи, инвестиция, доходность, доходныи, доходы, вложить, инвестиционныи, владение, прибыльныи, доход, поделиться, инвестировать, ликвидация, наложить, разделять, инвестирование, выручка, девальвация, владеть, инвентаризация, акционерныи, изложить, разделение, убыток, акционер, вкладывать, непредвиденныи, холдинговыи, остаток, ликвидность, делить, активизация, участие, холдинг, выделение, делистинг, накладывать, информатизация, инвестированныи, депозитарии, потеря, победить"
Отчетность и прозрачность,242,"финансовыи, отчетность, отчетности, отчета, валюта, финансово, валютныи, отчет, функционально, функционал, функция, функциональныи, курс, бухгалтер, подотчетность, бухгалтерия, учетныи, отчетныи, взаимозачет, учет, дефолт, расчетныи, финансирование, функционировать, доклад, расчет, счет, бухгалтерскии, иностранныи, проявление, ликвидность, туркменистан, фективность, финансировать, финансы, финансироваться, периодичность, взаиморасчет, принцип, вексель, доходность, еврооблигация, финанс, экспорт, ликвидация, фабрикация, дивидендныи, курсовои, коррекция, курскии"
Дивиденды и акционеры,248,"акционер, дивиденд, дивидендныи, акционерныи, акция, инвестировать, инвестор, аукцион, инвест, инвестирование, инвестпрограмма, инвестмент, участие, заседание, металлоинвест, инвестиция, собрание, рыночныи, биржа, инвестпроект, инвестированныи, девальвация, поделиться, дукции, инвестиционныи, арбитражныи, непредвиденныи, разделять, совещание, краткосрочныи, реакция, победитель, позиция, оповещение, заинтересовать, заинтересован, акциз, разделение, вложить, короткии, наложить, выставка, роль, реагирование, преференция, презентация, выделение, инспекция, изложить, сегмент"
